Condition,SNR_dB,Pre_FEC_BER,Post_FEC_BER,CD_ps_nm,Linewidth_Hz
Benign (Short Reach),12,0.00052,0.0,400.0,100000.0
Benign (Short Reach),13,0.00015428571428571428,0.0,400.0,100000.0
Benign (Short Reach),14,7.428571428571429e-05,0.0,400.0,100000.0
Benign (Short Reach),15,2.2857142857142858e-05,0.0,400.0,100000.0
Benign (Short Reach),16,0.0,0.0,400.0,100000.0
Benign (Short Reach),17,0.0,0.0,400.0,100000.0
Benign (Short Reach),18,0.0,0.0,400.0,100000.0
Benign (Short Reach),19,0.0,0.0,400.0,100000.0
Benign (Short Reach),20,0.0,0.0,400.0,100000.0
Standard (Target),12,0.020102857142857145,0.0061,1200.0,500000.0
Standard (Target),13,0.017274285714285714,0.00518,1200.0,500000.0
Standard (Target),14,0.01504,0.00429,1200.0,500000.0
Standard (Target),15,0.013377142857142857,0.00379,1200.0,500000.0
Standard (Target),16,0.01208,0.00341,1200.0,500000.0
Standard (Target),17,0.011148571428571428,0.00322,1200.0,500000.0
Standard (Target),18,0.010577142857142858,0.00302,1200.0,500000.0
Standard (Target),19,0.00996,0.00287,1200.0,500000.0
Standard (Target),20,0.009502857142857143,0.00281,1200.0,500000.0
Stress (Extreme),12,0.06846285714285714,0.04322,1800.0,1000000.0
Stress (Extreme),13,0.06502285714285715,0.04012,1800.0,1000000.0
Stress (Extreme),14,0.06154857142857143,0.0374,1800.0,1000000.0
Stress (Extreme),15,0.05930285714285714,0.03536,1800.0,1000000.0
Stress (Extreme),16,0.05762857142857143,0.03427,1800.0,1000000.0
Stress (Extreme),17,0.05608,0.03323,1800.0,1000000.0
Stress (Extreme),18,0.05476,0.03221,1800.0,1000000.0
Stress (Extreme),19,0.05395428571428571,0.03154,1800.0,1000000.0
Stress (Extreme),20,0.05323428571428571,0.0313,1800.0,1000000.0
